make4           rattle4_noshared make1           rattle1_noshared
2373.0150269168	9491.0278368362	 9217.4363980906 9235.6560175294
48.5340558512	36.3613647914	 62.3405178606	 55.3726703332
190.9889155738	763.8627191534	 592.592795577	 595.4952713392
53.6595698408	74.1677527304	 67.4439840756	 68.2696957286
53.5560197966	49.3650356052	 67.522574026	 67.2924071844
35.8427708928	13.86001679	 49.7034708308	 17.985659109
35.7574539728	13.380389424	 49.8453166164	 17.7288123078
53.5395416286	49.179877638	 68.1070796564	 66.6874180698
198.870942815	172.5887476722	 661.0365189806	 634.6848179292
63.8724900216	50.9458984536	 159.9577422574	 150.3256938758
53.67507066	48.9136081182	 68.4629477626	 66.7420756028
35.9345091602	13.3074358644	 50.4516236596	 17.8746125144
35.924635626	34.063321012	 50.4129658964	 21.6215895212
53.695131672	48.898993787	 67.7231363106	 64.4221567676
35.7833503944	13.0314746048	 49.5458433612	 15.5256108624
35.8990140878	12.981008199	 49.8758563826	 15.7018066628
35.9521349718	12.2860854144	 49.5758203106	 15.5111884332
180.9203108178	145.4375411048	 570.3598815692	 531.7750179952
35.6032356784	12.6722538024	 49.7304269288	 15.8290398988
35.7449674444	12.9163028048	 49.6766890858	 15.4231226662
35.749348498	12.9453686614	 49.4858644124	 15.5018470212
42.4481053152	29.7428657914	 56.7301074188	 46.5548455278
154.6138513726	132.8636733626	 462.2401627794	 460.5828501222
36.090692865	13.0439646962	 49.682248889	 16.007679992
180.5693610662	144.957799436	 565.9785082488	 532.1453412046
76.1174893478	58.4901005266	 121.588934812	 105.684657321
59.0349555802	52.3733871692	 103.7042117724	 100.8859569956
36.2453675892	12.7708501	 49.3102279086	 16.1622324122
35.8899820218	13.0381132568	 49.0101228214	 15.7189631312
36.0243711688	32.3119998876	 49.5277078838	 21.5839301322
35.7575981904	12.9426887972	 49.0798628888	 15.8180099456
41.688170855	28.5080796978	 54.6821938408	 44.794201808
35.6828403298	12.926026298	 49.3447652146	 15.9042097728
35.6302320126	12.9238109158	 49.2324067202	 15.8185327266
36.3485934554	13.4302413576	 49.5607351666	 15.9131769226
45.9871391796	33.0903276398	 58.726583809	 49.1840910446
36.6243510908	13.3298745478	 49.374961828	 15.376129406
36.2263509874	13.0727209774	 49.3027695246	 15.6800312622
