make1	rattle1	make4	rattle4	rattle4_noshared
95	112	36.33	96	77
5.42	0.27	5.07	0.29	0.28
3.72	4.34	3.55	3.35	2.86
3.74	4.22	3.06	3.63	2.89
4.68	6.15	4.56	5.16	4.06
4.98	5.89	4.78	4.74	4.06
6.72	8.62	4.7	5.27	4.17
5.02	5.63	4.77	4.89	4.15
7.04	8.9	6.86	7.02	5.98
2.87	3.48	2.56	3.01	2.35
51.79	67	20.42	20.51	13.89
50.72	62	20.64	22.01	13.72
58.07	65	26.92	28.5	19.97
51.01	56.3	21.81	22.91	16.86
0.65	1.24	0.62	1.26	0.9
7.54	7.47	7.65	8.16	6.8
53.39	60	22.54	24.2	20.28
4.65	5.34	5.28	5.78	4.67
52.64	59.57	21.92	23.58	21.22
1.85	2.19	1.91	2.5	2.11
1.12	1.24	1.07	1.66	1.29
51.08	57.28	21.77	23.4	21.94
0.69	0.33	0.58	0.67	0.34
51.73	61	22.59	24.4	23.24
0.63	0.28	0.6	0.76	0.26
0.68	0.32	0.6	0.77	0.36
0.09	0.31	0.11	0.76	0.34
