make1           rattle1_noshared make4		rattle4_noshared
139.200418885	164.6067542804	 39.3575522202	162.787731572
1.4907088948	3.7852952762	 1.1097761316	4.041921927
130.0360990208	135.2700921114	 34.0957052576	35.9751435
14.5597656622	16.111945971	 5.3318031252	6.350280974
2.119533393	3.2138637674	 2.0611214864	2.101963053
1.1360476586	2.224868446	 1.1105748022	1.849426818
1.1409908308	2.192093174	 1.1160199568	1.930757659
1.8096179798	2.8864512288	 1.7487622106	1.932423055
1.151166683	2.2186203752	 1.1209302592	1.934026915
2.5844416798	3.6855737536	 2.5303966696	2.756213899
2.0170062112	3.12544737	 1.9951373272	2.268294915
2.0290806656	3.1332647554	 1.9987494708	2.251517104
2.0376686182	3.132325528	 2.0001310074	2.311361169
2.0560863858	3.1659366912	 1.9881757976	2.184576867
2.5777755758	3.6842038586	 2.5533326202	2.770827113
2.7025454856	3.7916456228	 2.6428061586	2.850011118
1.6835264274	2.7671336126	 1.651172544	1.96556426
130.144999058	134.7532680852	 34.0730651056	36.10831397
1.154320002	2.2352525372	 1.1066582288	1.895707509
2.1361278126	3.2204084392	 2.0708595888	2.139806865
131.0553532938	3.012082151	 34.8818200464	2.640536684
2.6740092944	3.7710864704	 2.6160413124	2.781755068
1.1476794674	2.195918045	 1.1119452732	1.973116024
129.8500113774	134.588987991	 33.9888114626	36.015250698
1.1455084868	2.2486499876	 1.115960131	1.969244852
129.9092714008	134.7189591456	 34.0350950176	36.091198716
3.2829347204	4.4080392434	 3.249491815	3.344010826
1.1292960022	2.1863708942	 1.1132978572	1.893663515
1.1349048886	2.1904145984	 1.123118522	1.985185425
6.3136550404	134.946138718	 3.2809820604	36.285619858
1.1369458458	2.2396913022	 1.1205827318	1.89273695
2.6149841338	3.748424713	 2.60670578	2.627358638
2.6242865032	3.7516301554	 2.581495446	2.879316274
3.677467095	4.7550353812	 3.5960268172	3.691282538
1.142138752	2.2153096882	 1.104457533	1.985862831
