make32	rattle32_noshared	make4	rattle4_noshared	make1	rattle1_noshared
291.1048891534	6802.0377431906	1445.111123087	5776.9126894836	5648.3257306444	5616.655075961
31.9578718998	31.5515528494	32.2363681078	25.3331677156	41.0935197354	36.9756176298
48.9757116812	287.5294330752	122.3601213206	154.0008232226	387.7447014582	387.3571218528
34.4243742524	64.9788009696	34.3323550718	52.8986765652	43.4702538066	43.327837828
34.493998492	63.4857335844	34.3944064598	53.6076997914	42.964778866	42.9978692642
24.6398396316	15.2258531574	24.7202154258	8.4496061916	32.6180844222	10.3573289452
24.6599745802	15.7022377508	24.7285854994	9.3346400912	33.2665382314	10.1801480898
34.4228595162	64.2275249322	34.8860387072	53.998331213	43.1855227316	43.084769051
47.6904858784	41.8124187566	127.803223946	115.8591327888	433.7351051522	413.1444728388
34.1538391944	33.8317683508	42.6206989864	36.2685533756	104.384010834	100.2411227248
34.6111329466	61.8953225358	34.6784021518	53.831093672	43.0862259584	42.8894758156
24.8186445778	13.7959391764	24.390241947	9.4671049892	33.140782302	10.5726275288
24.4956911198	16.0373995728	24.58259501	8.99290987	32.9763550656	10.135522455
34.660179907	63.7352123108	34.4566348122	54.7246147986	42.7612471992	42.5359073208
24.4977227498	15.1646871996	24.6774450148	9.814490479	33.2614417164	10.2915557302
25.0420056798	15.3096358246	24.313990916	9.065600212	32.8791791284	10.1269808312
24.4673721958	15.9199609594	24.9291080742	9.452150595	33.0617614708	10.4645942138
46.3179436678	36.7317283068	116.173902049	98.186505199	371.896867305	346.8960731182
24.9014755956	15.551241075	24.9388009002	8.2985382308	33.241383244	10.360959764
24.85675964	16.0369107248	24.7895117252	8.8928217742	33.0037693922	9.876644565
25.2349916666	15.926644383	24.3299647084	9.4716683076	33.2275381732	10.332211918
29.478086533	28.0023894136	29.0794871618	22.6135177014	37.6499626762	33.1737883068
44.1541313228	46.8820251732	99.6110876626	90.0982221818	303.7943239988	302.7507136142
24.485194112	14.8911636564	24.5216379524	9.1568681578	33.2127610714	10.412562367
46.8074747044	37.6188636026	116.2408225358	98.3462653366	372.0220875398	347.590223469
46.8950682926	37.1655251612	50.6096351116	34.0267593612	80.3638003716	66.3266905256
34.4435473102	38.3877384722	38.2079704078	34.5161447896	66.1109750794	66.1140659094
24.9167060832	15.5610361986	24.5674978226	8.5933401522	33.396682219	10.4652843176
24.598278922	15.2816753752	24.7572383736	9.22526264	33.5114797726	10.2302711122
24.6893535744	15.5014298842	25.0164246582	9.3244849968	33.18638309	10.19496792
24.5924095968	15.040784597	24.922446775	10.4091101036	33.575803046	10.5447542592
28.362347044	28.3698157768	28.5363847172	21.817920236	37.0669331652	32.1876005568
24.6092840644	14.2397800328	24.7363182602	8.9458609194	32.8556799068	10.369799382
25.0082057866	15.5072785196	24.7925093724	9.6010152904	33.2657990404	10.3317782654
24.9448075784	16.3779574618	24.5753242624	10.1529151512	33.2213985934	10.2467362914
31.2239230334	29.9076308306	30.8749438052	24.0837042838	39.8202397444	34.7892066786
24.4760433036	14.7444328158	24.5410802912	9.8829212736	33.3682803518	10.3224874484
24.6080022446	15.777910692	24.3670228144	10.220587842	33.5205565538	9.835323461
