make1	rattle1	make4	rattle4
96.31250999	93.5679378	43.24257242	96.69136042
5.30021783	0.202687253	5.536370146	0.220378374
3.437315985	3.433009753	3.741767189	3.49348926
3.398457652	3.495624397	3.484738757	3.605243451
4.823676478	4.749420094	4.945840364	5.039386229
4.804894762	4.791177738	5.093685791	4.775627757
6.556747555	7.039547139	5.267368756	5.260239997
4.839935249	4.747649846	4.901023156	4.88452486
7.063353035	7.053736954	7.415058883	7.321147806
2.687485756	2.743570716	2.942362597	2.812768085
50.18482005	52.5221507	21.29132858	21.49528076
50.5704895	52.29583716	22.45493949	22.44306622
57.34846002	58.65525338	29.55034973	28.67978413
51.24936915	52.28020054	23.46552005	22.86014729
0.672388357	1.050539248	0.654677444	1.054851015
7.196964608	7.026013224	8.107329808	8.002886549
54.31680965	55.50143606	23.82666446	23.98319928
4.869578577	4.638905739	5.330642365	5.261192151
53.17115497	54.08387752	22.98037316	23.14329081
1.958112039	1.888567496	2.138261212	2.193680009
1.141969146	1.054870966	1.088551697	1.294850612
52.13967687	52.79262405	22.76213814	23.18955068
0.693322674	0.196349277	0.621354457	0.262942394
53.52578751	53.23892938	23.58624982	23.84637562
0.742571174	0.203375978	0.647513696	0.254417038
0.687677462	0.186795613	0.641116819	0.282565226
