make1	rattle1_noshared	make4	rattle4_noshared	make32	rattle32_noshared
34.0301278378	35.3068056028	8.39098139	36.1812974354	2.2297417206	36.8160633806
0.771912243	0.908675301	0.727573876	1.0494314638	0.8026534532	1.1366136142
32.1803607498	33.246866738	7.9666284242	8.6196672612	2.314609136	2.5887757994
1.789840716	2.0631678272	1.3716301252	1.730713925	1.444326513	1.8210980496
31.9360943452	33.121947935	7.8953933416	8.779933416	2.2977647618	2.6027781018
32.3815116836	33.6875941454	7.8715687296	8.8075913956	2.318652896	2.4895012234
0.1350610164	0.2496860732	0.099731659	0.5103750932	0.1222129024	0.5997343734
34.248542227	35.009419743	7.9404523626	8.8906456252	2.359359091	2.7500057128
0.0973754442	0.261285107	0.0991998412	0.527617661	0.0979912422	0.627992446
32.4371394628	33.6211243046	7.9184849144	8.6893824434	2.2849175098	2.6817369924
32.626834704	33.52729192	7.9035763324	8.8371811852	2.2338976104	2.6324961268
33.0350523516	35.4251636364	8.8841646358	35.417806631	3.1917761214	36.1925176416
32.5814455754	33.3468616098	7.8802530632	8.7122333194	2.3007909178	2.6610752162
32.5090779366	33.4628454332	7.8874146592	8.8601250524	2.3107693842	2.638282386
0.1368902624	0.2639026326	0.1138355482	0.446396765	0.0969289084	0.6069759448
0.095068072	0.2769616878	0.0946807068	0.41845917	0.10296833	0.6183346202
2.2603040618	2.4626329956	1.3977340752	1.7886779538	1.5127245166	1.8281260026
0.6215262342	0.988698096	0.7294855424	0.8627020898	0.6322841816	0.9544801112
0.4434201346	0.6054747338	0.4130615174	0.5883412272	0.378346331	0.7050336254
32.5981166566	33.2393484742	7.8177391374	8.7209475458	2.2920088586	2.6003237312
0.137690558	0.2625300172	0.1087872376	0.4070138598	0.116251488	0.5940753668
0.0951594506	0.260636921	0.0982228994	0.395527069	0.1076613998	0.6026798196
9.2739481998	29.3019164256	8.6962787786	30.083956895	8.5408278474	30.5958976976
9.206826032	35.0196519316	8.6084939436	35.8664688644	8.547192623	35.824109549
0.1001128384	0.2655147498	0.1043937714	0.4251911206	0.1088997312	0.6627740626
0.5508126368	0.739969217	0.4943884836	0.8450469152	0.5265437108	0.9159386174
0.1136879306	0.2626738682	0.1016107598	0.4064679346	0.0982772566	0.5844792702
0.0992509282	0.2587146844	0.094792288	0.3899657836	0.0963132074	0.6048320606
1.3771534318	1.5115165884	1.172411126	1.3647210004	1.0316411714	1.4664022132
1.5840945736	1.7301755368	1.6653827312	2.0210876704	1.732167703	2.1072870026
0.1055805738	0.2518930974	0.0981906666	0.3810369284	0.1087110878	0.583050931
0.1071250422	0.2679402502	0.1117248278	0.3824625768	0.0956272372	0.6020965542
2.5581843676	2.9410968166	1.5529451396	1.8715806296	1.5576243968	1.9357745642
0.488050805	0.7965845938	0.495564428	0.6877922158	0.4660423648	0.8101907958
0.114234478	0.2664242548	0.097613678	0.3844315408	0.114483752	0.5861335146
0.0948556406	0.2602496044	0.1102661632	0.3805871428	0.1048475332	0.5944198662
0.0966526456	0.2683471334	0.11734916	0.3878613122	0.0965353834	0.6038878238
1.3542825758	1.5127329426	1.0567347886	1.2615480424	0.9601195404	1.2975818728
1.7619442386	1.9546040478	1.6781060536	2.04105174	1.6755943972	2.1935862294
