make1	rattle1_noshared	make4	rattle4_noshared	make32	rattle32_noshared
145.2162650686	154.6894050334	49.9987510536	153.2646523536	27.0226846704	154.1432398836
2.6540103868	3.1681902576	0.8809652856	2.4321886124	0.8761299862	2.7651660036
120.3428828162	125.655446617	30.6256128506	33.8044750804	7.8002743732	9.0152763118
13.5673524972	14.7627951874	4.677590836	7.5591512862	2.823951848	4.7868850408
1.893304415	2.5704954262	1.894781986	1.8833643576	1.8951218804	2.2288392712
0.92011126	1.4020976012	0.9657328756	1.778524219	0.9355631624	2.0096501104
0.9454767682	1.4554720348	0.9582839146	2.5151722454	0.855667921	2.7945857346
1.4742467128	2.4294741398	1.4083259124	1.7464884716	1.403720606	2.054089568
0.9797772616	1.4867266994	0.985024976	3.0965214812	0.8251235328	3.3793201396
2.3680522378	3.1239814474	2.2632428594	3.2731468116	2.0816832434	3.5027105498
1.8834131068	2.420222264	1.8233588818	2.8652529262	1.7368466404	3.1079908252
1.8600521342	2.4314814428	1.7550762692	2.8196435362	1.714951059	2.935487185
1.7712142422	2.4190603076	1.7796749224	2.863827847	1.6361531962	3.0409908776
1.8023021786	2.5337257892	1.7454958652	2.7588541854	1.741030696	3.045385613
2.179167959	2.9385941648	2.1656054978	3.348364064	2.1484362936	3.3106611254
2.262131458	2.971494444	2.3983159264	2.7023978204	2.3806836546	2.731894916
1.459776246	2.1870826064	1.3315703356	2.6210520254	1.3499423294	2.6164870718
121.2013013086	126.4908036104	30.645274347	34.471031456	8.0163000896	9.5302313694
0.9985545026	1.4580381086	0.8835843042	2.5352999974	0.9545037258	2.7120704728
1.8885174322	2.6044874194	1.8767849222	2.8735296096	1.8547551758	2.9025642962
120.8539048768	1.8896186606	30.8392816886	2.0125815538	7.7405798274	2.1980447126
2.4093458292	3.0591439068	2.404827573	3.2220824932	2.4338523962	3.4619997748
1.0020616258	1.4976557424	0.9523803342	3.0308865534	0.9308525696	3.2546278784
121.3831406046	126.1541814262	30.1582675996	33.7242344448	7.8160663516	8.9268619924
0.9793487638	1.446383991	0.9328543192	2.4578477674	0.9655649934	2.7825072786
120.6444478612	126.245912442	30.7446871198	33.122700605	7.7703591114	8.2253719422
2.8478679288	3.5923584496	2.9613635072	3.7512632064	2.9477394456	3.8415933638
0.954870312	1.4586561764	0.9927437762	2.514933504	0.9484032654	2.6226043962
1.0089263866	1.47939176	0.9742763384	2.4464808192	0.876469058	2.556651581
5.7655793142	126.1654847096	2.863855899	33.4625696504	2.8559522408	8.8507430456
0.7643105908	1.4668014158	0.9635113258	1.8005242324	0.7374531802	1.8976048756
2.3043454392	2.9341235974	2.2698756346	3.2095395844	2.1739612664	3.425500611
2.414127993	3.0421068052	2.3854230762	2.4262227186	2.1484793756	2.7149878038
3.1567176308	3.9084351512	3.2706614906	4.1304716992	3.0305008398	4.1126041578
0.8986558086	1.4763493512	0.9557704072	1.7773150348	0.867379567	1.8319844772
